datum;uhrzeit_start;uhrzeit_ende;zaehlstelle;richtung_1;richtung_2;gesamt;min-temp;max-temp;niederschlag;bewoelkung;sonnenstunden
2012.07.01;00:00;23.59;Arnulf;648;19;667;;;;;
2012.07.02;00:00;23.59;Arnulf;1066;40;1106;;;;;
2012.07.03;00:00;23.59;Arnulf;1209;37;1246;;;;;
2012.07.04;00:00;23.59;Arnulf;1547;48;1595;;;;;
2012.07.05;00:00;23.59;Arnulf;1699;40;1739;;;;;
2012.07.06;00:00;23.59;Arnulf;1298;39;1337;;;;;
2012.07.07;00:00;23.59;Arnulf;1073;14;1087;;;;;
2012.07.08;00:00;23.59;Arnulf;1003;33;1036;;;;;
2012.07.09;00:00;23.59;Arnulf;1315;37;1352;;;;;
2012.07.10;00:00;23.59;Arnulf;1605;44;1649;;;;;
2012.07.11;00:00;23.59;Arnulf;1327;41;1368;;;;;
2012.07.12;00:00;23.59;Arnulf;1448;46;1494;;;;;
2012.07.13;00:00;23.59;Arnulf;995;39;1034;;;;;
2012.07.14;00:00;23.59;Arnulf;972;40;1012;;;;;
2012.07.15;00:00;23.59;Arnulf;521;27;548;;;;;
2012.07.16;00:00;23.59;Arnulf;1267;41;1308;;;;;
2012.07.17;00:00;23.59;Arnulf;1342;45;1387;;;;;
2012.07.18;00:00;23.59;Arnulf;1913;46;1959;;;;;
2012.07.19;00:00;23.59;Arnulf;1583;47;1630;;;;;
2012.07.20;00:00;23.59;Arnulf;1024;50;1074;;;;;
2012.07.21;00:00;23.59;Arnulf;824;20;844;;;;;
2012.07.22;00:00;23.59;Arnulf;811;42;853;;;;;
2012.07.23;00:00;23.59;Arnulf;1765;52;1817;;;;;
2012.07.24;00:00;23.59;Arnulf;2035;70;2105;;;;;
2012.07.25;00:00;23.59;Arnulf;1563;51;1614;;;;;
2012.07.26;00:00;23.59;Arnulf;1908;53;1961;;;;;
2012.07.27;00:00;23.59;Arnulf;1832;68;1900;;;;;
2012.07.28;00:00;23.59;Arnulf;1179;35;1214;;;;;
2012.07.29;00:00;23.59;Arnulf;557;33;590;;;;;
2012.07.30;00:00;23.59;Arnulf;1711;60;1771;;;;;
2012.07.31;00:00;23.59;Arnulf;1927;59;1986;;;;;
2012.07.01;00:00;23.59;Kreuther;285;240;525;;;;;
2012.07.02;00:00;23.59;Kreuther;364;276;640;;;;;
2012.07.03;00:00;23.59;Kreuther;389;311;700;;;;;
2012.07.04;00:00;23.59;Kreuther;540;412;952;;;;;
2012.07.05;00:00;23.59;Kreuther;548;429;977;;;;;
2012.07.06;00:00;23.59;Kreuther;500;350;850;;;;;
2012.07.07;00:00;23.59;Kreuther;289;231;520;;;;;
2012.07.08;00:00;23.59;Kreuther;335;278;613;;;;;
2012.07.09;00:00;23.59;Kreuther;403;307;710;;;;;
2012.07.10;00:00;23.59;Kreuther;542;455;997;;;;;
2012.07.11;00:00;23.59;Kreuther;375;289;664;;;;;
2012.07.12;00:00;23.59;Kreuther;455;373;828;;;;;
2012.07.13;00:00;23.59;Kreuther;259;204;463;;;;;
2012.07.14;00:00;23.59;Kreuther;208;163;371;;;;;
2012.07.15;00:00;23.59;Kreuther;140;107;247;;;;;
2012.07.16;00:00;23.59;Kreuther;420;314;734;;;;;
2012.07.17;00:00;23.59;Kreuther;421;335;756;;;;;
2012.07.18;00:00;23.59;Kreuther;542;410;952;;;;;
2012.07.19;00:00;23.59;Kreuther;516;354;870;;;;;
2012.07.20;00:00;23.59;Kreuther;362;269;631;;;;;
2012.07.21;00:00;23.59;Kreuther;194;163;357;;;;;
2012.07.22;00:00;23.59;Kreuther;308;281;589;;;;;
2012.07.23;00:00;23.59;Kreuther;563;422;985;;;;;
2012.07.24;00:00;23.59;Kreuther;585;469;1054;;;;;
2012.07.25;00:00;23.59;Kreuther;470;344;814;;;;;
2012.07.26;00:00;23.59;Kreuther;571;428;999;;;;;
2012.07.27;00:00;23.59;Kreuther;599;426;1025;;;;;
2012.07.28;00:00;23.59;Kreuther;287;293;580;;;;;
2012.07.29;00:00;23.59;Kreuther;153;128;281;;;;;
2012.07.30;00:00;23.59;Kreuther;569;399;968;;;;;
2012.07.31;00:00;23.59;Kreuther;568;455;1023;;;;;
2012.07.01;00:00;23.59;Olympia;1212;1228;2440;;;;;
2012.07.02;00:00;23.59;Olympia;1125;1057;2182;;;;;
2012.07.03;00:00;23.59;Olympia;1271;1213;2484;;;;;
2012.07.04;00:00;23.59;Olympia;1917;1854;3771;;;;;
2012.07.05;00:00;23.59;Olympia;1789;1758;3547;;;;;
2012.07.06;00:00;23.59;Olympia;1297;1342;2639;;;;;
2012.07.07;00:00;23.59;Olympia;1413;1315;2728;;;;;
2012.07.08;00:00;23.59;Olympia;1792;1685;3477;;;;;
2012.07.09;00:00;23.59;Olympia;1537;1487;3024;;;;;
2012.07.10;00:00;23.59;Olympia;1839;1648;3487;;;;;
2012.07.11;00:00;23.59;Olympia;1419;1398;2817;;;;;
2012.07.12;00:00;23.59;Olympia;1571;1483;3054;;;;;
2012.07.13;00:00;23.59;Olympia;1075;946;2021;;;;;
2012.07.14;00:00;23.59;Olympia;1135;916;2051;;;;;
2012.07.15;00:00;23.59;Olympia;796;642;1438;;;;;
2012.07.16;00:00;23.59;Olympia;1197;599;1796;;;;;
2012.07.17;00:00;23.59;Olympia;751;963;1714;;;;;
2012.07.18;00:00;23.59;Olympia;789;1889;2678;;;;;
2012.07.19;00:00;23.59;Olympia;1220;1278;2498;;;;;
2012.07.20;00:00;23.59;Olympia;160;382;542;;;;;
2012.07.21;00:00;23.59;Olympia;11;30;41;;;;;
2012.07.22;00:00;23.59;Olympia;502;731;1233;;;;;
2012.07.23;00:00;23.59;Olympia;1396;1332;2728;;;;;
2012.07.24;00:00;23.59;Olympia;2014;1852;3866;;;;;
2012.07.25;00:00;23.59;Olympia;1178;940;2118;;;;;
2012.07.26;00:00;23.59;Olympia;1668;1323;2991;;;;;
2012.07.27;00:00;23.59;Olympia;1567;1567;3134;;;;;
2012.07.28;00:00;23.59;Olympia;1122;1057;2179;;;;;
2012.07.29;00:00;23.59;Olympia;582;331;913;;;;;
2012.07.30;00:00;23.59;Olympia;1360;1176;2536;;;;;
2012.07.31;00:00;23.59;Olympia;1640;1586;3226;;;;;
2012.07.01;00:00;23.59;Hirsch;198;215;413;;;;;
2012.07.02;00:00;23.59;Hirsch;330;394;724;;;;;
2012.07.03;00:00;23.59;Hirsch;387;398;785;;;;;
2012.07.04;00:00;23.59;Hirsch;515;531;1046;;;;;
2012.07.05;00:00;23.59;Hirsch;474;525;999;;;;;
2012.07.06;00:00;23.59;Hirsch;438;455;893;;;;;
2012.07.07;00:00;23.59;Hirsch;279;268;547;;;;;
2012.07.08;00:00;23.59;Hirsch;341;327;668;;;;;
2012.07.09;00:00;23.59;Hirsch;426;434;860;;;;;
2012.07.10;00:00;23.59;Hirsch;545;581;1126;;;;;
2012.07.11;00:00;23.59;Hirsch;391;425;816;;;;;
2012.07.12;00:00;23.59;Hirsch;470;489;959;;;;;
2012.07.13;00:00;23.59;Hirsch;293;314;607;;;;;
2012.07.14;00:00;23.59;Hirsch;173;204;377;;;;;
2012.07.15;00:00;23.59;Hirsch;108;114;222;;;;;
2012.07.16;00:00;23.59;Hirsch;394;382;776;;;;;
2012.07.17;00:00;23.59;Hirsch;415;439;854;;;;;
2012.07.18;00:00;23.59;Hirsch;534;585;1119;;;;;
2012.07.19;00:00;23.59;Hirsch;467;482;949;;;;;
2012.07.20;00:00;23.59;Hirsch;297;313;610;;;;;
2012.07.21;00:00;23.59;Hirsch;174;174;348;;;;;
2012.07.22;00:00;23.59;Hirsch;307;294;601;;;;;
2012.07.23;00:00;23.59;Hirsch;518;547;1065;;;;;
2012.07.24;00:00;23.59;Hirsch;610;659;1269;;;;;
2012.07.25;00:00;23.59;Hirsch;498;518;1016;;;;;
2012.07.26;00:00;23.59;Hirsch;583;575;1158;;;;;
2012.07.27;00:00;23.59;Hirsch;486;532;1018;;;;;
2012.07.28;00:00;23.59;Hirsch;238;240;478;;;;;
2012.07.29;00:00;23.59;Hirsch;136;140;276;;;;;
2012.07.30;00:00;23.59;Hirsch;519;546;1065;;;;;
2012.07.31;00:00;23.59;Hirsch;541;574;1115;;;;;
2012.07.01;00:00;23.59;Margareten;1334;1128;2462;;;;;
2012.07.02;00:00;23.59;Margareten;1576;1509;3085;;;;;
2012.07.03;00:00;23.59;Margareten;1914;1843;3757;;;;;
2012.07.04;00:00;23.59;Margareten;2489;2442;4931;;;;;
2012.07.05;00:00;23.59;Margareten;2506;2428;4934;;;;;
2012.07.06;00:00;23.59;Margareten;1971;1949;3920;;;;;
2012.07.07;00:00;23.59;Margareten;1508;1362;2870;;;;;
2012.07.08;00:00;23.59;Margareten;1487;1347;2834;;;;;
2012.07.09;00:00;23.59;Margareten;2218;2096;4314;;;;;
2012.07.10;00:00;23.59;Margareten;2447;2432;4879;;;;;
2012.07.11;00:00;23.59;Margareten;1903;1859;3762;;;;;
2012.07.12;00:00;23.59;Margareten;2244;2197;4441;;;;;
2012.07.13;00:00;23.59;Margareten;1534;1470;3004;;;;;
2012.07.14;00:00;23.59;Margareten;1116;1120;2236;;;;;
2012.07.15;00:00;23.59;Margareten;850;754;1604;;;;;
2012.07.16;00:00;23.59;Margareten;1898;1875;3773;;;;;
2012.07.17;00:00;23.59;Margareten;2042;1983;4025;;;;;
2012.07.18;00:00;23.59;Margareten;2612;2498;5110;;;;;
2012.07.19;00:00;23.59;Margareten;2219;2215;4434;;;;;
2012.07.20;00:00;23.59;Margareten;1548;1525;3073;;;;;
2012.07.21;00:00;23.59;Margareten;1128;1069;2197;;;;;
2012.07.22;00:00;23.59;Margareten;1212;1099;2311;;;;;
2012.07.23;00:00;23.59;Margareten;2365;2270;4635;;;;;
2012.07.24;00:00;23.59;Margareten;2779;2653;5432;;;;;
2012.07.25;00:00;23.59;Margareten;2220;2084;4304;;;;;
2012.07.26;00:00;23.59;Margareten;2705;2577;5282;;;;;
2012.07.27;00:00;23.59;Margareten;2553;2568;5121;;;;;
2012.07.28;00:00;23.59;Margareten;1467;1299;2766;;;;;
2012.07.29;00:00;23.59;Margareten;689;617;1306;;;;;
2012.07.30;00:00;23.59;Margareten;2426;2337;4763;;;;;
2012.07.31;00:00;23.59;Margareten;2763;2706;5469;;;;;
2012.07.01;00:00;23.59;Erhardt;2041;2168;4209;;;;;
2012.07.02;00:00;23.59;Erhardt;1737;1927;3664;;;;;
2012.07.03;00:00;23.59;Erhardt;2078;2284;4362;;;;;
2012.07.04;00:00;23.59;Erhardt;3055;3285;6340;;;;;
2012.07.05;00:00;23.59;Erhardt;3021;3222;6243;;;;;
2012.07.06;00:00;23.59;Erhardt;2385;2494;4879;;;;;
2012.07.07;00:00;23.59;Erhardt;1922;2029;3951;;;;;
2012.07.08;00:00;23.59;Erhardt;2880;2763;5643;;;;;
2012.07.09;00:00;23.59;Erhardt;2423;2433;4856;;;;;
2012.07.10;00:00;23.59;Erhardt;2932;3135;6067;;;;;
2012.07.11;00:00;23.59;Erhardt;2163;2317;4480;;;;;
2012.07.12;00:00;23.59;Erhardt;2612;2808;5420;;;;;
2012.07.13;00:00;23.59;Erhardt;1603;1709;3312;;;;;
2012.07.14;00:00;23.59;Erhardt;1592;1854;3446;;;;;
2012.07.15;00:00;23.59;Erhardt;1351;1325;2676;;;;;
2012.07.16;00:00;23.59;Erhardt;2035;2175;4210;;;;;
2012.07.17;00:00;23.59;Erhardt;2326;2501;4827;;;;;
2012.07.18;00:00;23.59;Erhardt;3407;3513;6920;;;;;
2012.07.19;00:00;23.59;Erhardt;2705;2879;5584;;;;;
2012.07.20;00:00;23.59;Erhardt;1630;1780;3410;;;;;
2012.07.21;00:00;23.59;Erhardt;1234;1326;2560;;;;;
2012.07.22;00:00;23.59;Erhardt;1789;1930;3719;;;;;
2012.07.23;00:00;23.59;Erhardt;2880;2986;5866;;;;;
2012.07.24;00:00;23.59;Erhardt;3747;3762;7509;;;;;
2012.07.25;00:00;23.59;Erhardt;2602;2779;5381;;;;;
2012.07.26;00:00;23.59;Erhardt;3649;3645;7294;;;;;
2012.07.27;00:00;23.59;Erhardt;3677;3703;7380;;;;;
2012.07.28;00:00;23.59;Erhardt;1990;2186;4176;;;;;
2012.07.29;00:00;23.59;Erhardt;1126;1142;2268;;;;;
2012.07.30;00:00;23.59;Erhardt;2732;2908;5640;;;;;
2012.07.31;00:00;23.59;Erhardt;3460;3643;7103;;;;;
